"","id","name","phylogeny","distn","parama","paramb","n","units","author"
"mort2","  1","mort2","plants","gamma"," 1.470","   0.0578","  0","1/yr ","LeBauer"
"growth_resp_factor","  7","growth_resp_factor","Grass","beta"," 2.630","   6.5200","  0","percent","LeBauer"
"leaf_turnover_rate","  9","leaf_turnover_rate","Grass","gamma"," 2.900","   0.6300"," 40","1/yr ","Wright"
"leaf_width"," 11","leaf_width","C4 Grass","gamma"," 6.530","   1.4900"," 17","mm","Oyarzabal"
"nonlocal_dispersal"," 12","nonlocal_dispersal","Grass","beta","20.300","  76.1000"," 30","percent","Jongejans"
"fineroot2leaf"," 13","fineroot2leaf","Grass","lnorm"," 0.811","   0.8430","  0","ratio","Chapin"
"root_turnover_rate"," 16","root_turnover_rate","Grass","weibull"," 1.670","   0.6570"," 66","1/yr ","Gill"
"seedling_mortality"," 17","seedling_mortality","monocots","beta"," 3.610","   0.4330","  0","percent","LeBauer"
"stomatal_slope"," 21","stomatal_slope","C4 Grass","lnorm"," 1.240","   0.2800","  2","ratio ","LeBauer"
"r_fract"," 80","r_fract","Plants","beta"," 2.000","   4.0000","  0","percent","LeBauer"
"root_respiration_rate","123","root_respiration_rate","C4 Grass","weibull"," 2.660","   6.2900"," 35","umol CO_2 kg-1 s-1","Tjoelker"
"Vm_low_temp","125","Vm_low_temp","C4 Grass","norm","10.000","   1.0200","  0","Celsius ","LeBauer"
"SLA","126","SLA","Grass","weibull"," 2.060","  19.0000","125","m2 kg-1","Wright"
"Vcmax","127","Vcmax","graminoid","weibull"," 3.550","  24.7000"," 97","umol CO2 m-2 s-1","Wullschleger"
"quantum_efficiency","175","quantum_efficiency","C4 grasses","gamma","90.900","1580.0000"," 56","percent","Skillman"
